cedula;nombre;clave;calificacion
200000001;Paula;jM6Ooy8;4.4
200000002;Jorge;Ea7yO2O;0.2
200000003;Laura;0zIoDv8;4.0
200000004;Pedro;dZO98iN;1.6
200000005;Jorge;bEkYL2c;3.9
200000006;Ana;hwJ4QO7;1.6
200000007;Pedro;N0u4uQ0;1.0
200000008;Daniela;ZJHqHvx;1.3
200000009;Camilo;vNGyGaI;2.6
200000010;Sofia;hOhxdyA;1.0
200000011;Laura;wEUwOtH;0.9
200000012;Camilo;LLHFLl6;1.3
200000013;Laura;lmDgeZx;1.2
200000014;Jorge;wek2oSu;3.8
200000015;Esteban;oQ69Vt3;0.3
200000016;Natalia;Ia4ixfg;0.6
200000017;Luis;sj6tsaj;1.0
200000018;Paula;gtRBW2Z;2.6
200000019;Diego;7DuG0mo;4.9
200000020;Esteban;jwPsUtn;3.1
200000021;Camilo;FXGsB35;2.2
200000022;Laura;PDUHdGD;4.9
200000023;Carlos;6x4fOAE;0.5
200000024;Sebastian;D0BvkHx;0.6
200000025;Daniela;taiAaAC;2.7
200000026;Carlos;l821wm3;0.4
200000027;Camilo;Ou64CWh;3.3
200000028;Felipe;E7wJrtJ;2.0
200000029;Valentina;dVIzW5G;3.7
200000030;Laura;tIUK2iq;0.4
200000031;Paula;ZAmTZE6;3.2
200000032;Camilo;TXqx5cK;4.9
200000033;Jorge;QD2NXjC;4.4
200000034;Andres;7QyH47U;2.9
200000035;Esteban;qOWRqzn;4.2
200000036;Luisa;KFku26e;0.4
200000037;Daniela;wlzWYJ3;3.1
200000038;Ana;0BHy0Q3;2.6
200000039;Felipe;T5pzMLS;0.8
200000040;Sebastian;9woAH6X;0.3
200000041;Diego;9EBznHf;0.0
200000042;Camilo;1bXolcZ;3.5
200000043;Sebastian;blkCyYt;0.3
200000044;Jorge;VJWII0w;1.2
200000045;Daniela;RDTOGAw;3.9
200000046;Maria;5Ua9xua;1.0
200000047;Valentina;jGXx3bI;3.8
200000048;Sebastian;ZpBIVew;2.0
200000049;Felipe;vuqKVHw;0.8
200000050;Jorge;OzUKwfq;0.9
200000051;Luisa;S3cphII;3.0
200000052;Maria;1FfKzhp;2.2
200000053;Natalia;DdEEnL4;4.8
200000054;Camilo;o6no8bT;1.8
200000055;Sofia;LnIbmdi;4.4
200000056;Valentina;SRLKpY4;3.8
200000057;Felipe;7O6FVnY;0.3
200000058;Camilo;7DEX5xS;4.7
200000059;Maria;0YDDjEL;0.9
200000060;Sebastian;18aaXGA;1.7
200000061;Andres;uFIdrQQ;2.5
200000062;Luis;WOEe5Ov;4.7
200000063;Andres;nJIqAPK;0.6
200000064;Felipe;hpJ9feM;1.7
200000065;Laura;gmB3DEf;3.3
200000066;Carlos;l7rI7dn;0.3
200000067;Sebastian;4CLz4ir;4.4
200000068;Pedro;tRBunAO;1.7
200000069;Jorge;L3MlCko;4.6
200000070;Pedro;je6a1Mj;4.9
200000071;Ana;XJcEKi1;2.2
200000072;Sofia;ODIk7yp;1.6
200000073;Andres;whA004W;1.2
200000074;Luisa;MuFo2bX;3.5
200000075;Paula;iK8JObh;3.2
200000076;Andres;Yvctoxm;4.2
200000077;Daniela;s9R7Ezl;4.0
