cedula;nombre;clave;antiguedad_meses;calificacion;alojamientos
100000001;Paula;xBwsDeM5oS;16;3.6;1079,1180
100000002;Felipe;oySyC1i8A9;21;1.4;1044
100000003;Juan;lEnKiEep02;20;0.9;1077,1082
100000004;Andres;hbJfphBCUn;24;4.6;1062,1112
100000005;Andres;nOCrJR1vFJ;17;3.0;1185,1208,1035
100000006;Carlos;5t4M3ysMQX;12;3.9;1099,1024
100000007;Paula;OZ5ct1e4Zj;14;4.3;1241
100000008;Luis;lcwcdagNf4;55;0.6;1229
100000009;Paula;RHSxirBrnV;55;3.3;1061,1147
100000010;Ana;Lg4saUwR6r;32;2.5;1022,1118
100000011;Maria;a1TK2mXI4T;10;4.5;1056,1093
100000012;Camilo;jbe39zpbig;13;1.7;1043,1229
100000013;Luis;QrHtlw3DgR;23;1.1;1125,1036,1026
100000014;Sofia;bwZqzzMImp;22;2.3;1067,1021
100000015;Valentina;TBIjGOX9eN;50;0.5;1052,1112
100000016;Daniela;tqeuSMtie5;38;3.3;1221,1022,1166
100000017;Carlos;tLijEKKXkS;3;2.1;1004,1186
100000018;Diego;zlvSncpmXd;22;0.3;1134,1143,1175
100000019;Juan;ziwTx6S6d1;2;0.4;1125,1236
100000020;Luisa;YoxIfDVEPs;54;3.1;1008,1197,1085
100000021;Carlos;W4KjdAw0Qh;60;2.2;1073,1238
100000022;Esteban;aXTRvwvswb;39;1.8;1178,1188
100000023;Carlos;REw6OxbjaZ;7;1.6;1134,1201,1044
100000024;Paula;jkKzjONMUc;15;0.4;1175,1027
100000025;Daniela;sC9HOaTmMv;37;4.0;1127,1041,1090
100000026;Ana;vuwYKtop2j;42;3.5;1012
100000027;Camilo;ABOKWdYwWS;14;2.5;1237,1083,1162
100000028;Paula;T5KnEITyr3;35;0.7;1212
100000029;Sofia;MQOBn8o3LF;38;4.8;1072,1011
100000030;Esteban;epgJhcGX29;10;3.6;1106,1019
100000031;Carlos;93HTxF7B2r;59;1.7;1104,1177,1185
100000032;Jorge;sPXifuW5vE;31;3.4;1019,1074,1027
100000033;Juan;DLEKZkrHOs;45;1.6;1044,1210
100000034;Sebastian;Y9ohSOYjPY;31;1.6;1003
100000035;Jorge;3pOa6jVZA7;42;1.4;1117
100000036;Maria;5NVqyEvk4J;13;2.4;1014
100000037;Felipe;fxyknWLkj4;32;2.6;1160,1021,1013
