codigo_reserva;cedula_huesped;id_alojamiento;fecha_pago;metodo_pago;fecha_inicio;fecha_fin;pregunta_cliente
RSV0001;200000099;1021;02/05/2025;TCredito;05/05/2025;08/05/2025;Esta cerca del metro?
RSV0002;200000029;1139;18/05/2025;PSE;19/05/2025;22/05/2025;Esta cerca del metro?
RSV0003;200000179;1043;20/05/2025;TCredito;22/05/2025;25/05/2025;Incluye desayuno?
RSV0004;200000222;1121;29/04/2025;TCredito;02/05/2025;06/05/2025;Hay vigilancia?
RSV0005;200000135;1152;28/05/2025;PSE;30/05/2025;02/06/2025;Hay aire acondicionado?
RSV0006;200000120;1003;20/05/2025;TCredito;21/05/2025;23/05/2025;Incluye desayuno?
RSV0007;200000024;1005;29/05/2025;PSE;30/05/2025;31/05/2025;Esta cerca del metro?
RSV0008;200000232;1071;03/05/2025;PSE;06/05/2025;10/05/2025;Tiene parqueadero?
RSV0009;200000079;1132;02/05/2025;PSE;05/05/2025;08/05/2025;Puedo llevar mascota?
RSV0010;200000202;1177;25/05/2025;PSE;28/05/2025;29/05/2025;Esta cerca del metro?
RSV0011;200000099;1105;16/05/2025;TCredito;18/05/2025;22/05/2025;Tiene wifi?
RSV0012;200000052;1182;08/05/2025;PSE;09/05/2025;11/05/2025;Esta cerca del metro?
RSV0013;200000125;1007;30/05/2025;TCredito;31/05/2025;04/06/2025;Se permite fumar?
RSV0014;200000191;1052;17/05/2025;PSE;20/05/2025;22/05/2025;Es zona segura?
RSV0015;200000080;1097;22/05/2025;PSE;24/05/2025;28/05/2025;Puedo llevar mascota?
RSV0016;200000027;1185;14/05/2025;PSE;16/05/2025;19/05/2025;Hay vigilancia?
RSV0017;200000226;1235;30/05/2025;TCredito;31/05/2025;02/06/2025;Es zona segura?
RSV0018;200000223;1172;04/05/2025;PSE;07/05/2025;10/05/2025;Tiene wifi?
RSV0019;200000228;1034;21/05/2025;PSE;24/05/2025;25/05/2025;Tiene cocina?
RSV0020;200000203;1054;14/05/2025;PSE;16/05/2025;18/05/2025;Hay vigilancia?
RSV0021;200000184;1138;22/05/2025;TCredito;25/05/2025;28/05/2025;Hay vigilancia?
RSV0022;200000065;1011;05/05/2025;TCredito;08/05/2025;10/05/2025;Hay vigilancia?
RSV0023;200000137;1108;15/05/2025;TCredito;17/05/2025;21/05/2025;Hay aire acondicionado?
RSV0024;200000049;1212;02/05/2025;PSE;04/05/2025;08/05/2025;Hay vigilancia?
RSV0025;200000078;1089;29/05/2025;PSE;30/05/2025;03/06/2025;Tiene wifi?
RSV0026;200000195;1107;28/05/2025;TCredito;30/05/2025;01/06/2025;Puedo llevar mascota?
RSV0027;200000210;1151;09/05/2025;PSE;11/05/2025;13/05/2025;Puedo llevar mascota?
RSV0028;200000190;1033;13/05/2025;PSE;16/05/2025;18/05/2025;Hay aire acondicionado?
RSV0029;200000156;1161;26/05/2025;TCredito;28/05/2025;31/05/2025;Incluye desayuno?
RSV0030;200000053;1010;10/05/2025;TCredito;13/05/2025;15/05/2025;Hay aire acondicionado?
RSV0031;200000207;1227;11/05/2025;TCredito;12/05/2025;15/05/2025;Se permite fumar?
RSV0032;200000001;1024;23/05/2025;PSE;26/05/2025;28/05/2025;Incluye desayuno?
RSV0033;200000169;1153;19/05/2025;PSE;21/05/2025;23/05/2025;Hay aire acondicionado?
RSV0034;200000218;1072;09/05/2025;TCredito;12/05/2025;15/05/2025;Esta cerca del metro?
RSV0035;200000129;1216;26/05/2025;TCredito;27/05/2025;28/05/2025;Hay aire acondicionado?
RSV0036;200000234;1184;07/05/2025;PSE;10/05/2025;12/05/2025;Es zona segura?
RSV0037;200000055;1194;30/04/2025;PSE;03/05/2025;07/05/2025;Tiene parqueadero?
RSV0038;200000161;1222;27/05/2025;PSE;28/05/2025;31/05/2025;Tiene wifi?
RSV0039;200000233;1040;05/05/2025;TCredito;06/05/2025;09/05/2025;Tiene parqueadero?
RSV0040;200000129;1075;13/05/2025;TCredito;14/05/2025;18/05/2025;Tiene cocina?
RSV0041;200000204;1106;07/05/2025;PSE;09/05/2025;12/05/2025;Se permite fumar?
RSV0042;200000087;1051;18/05/2025;PSE;21/05/2025;24/05/2025;Puedo llevar mascota?
RSV0043;200000076;1134;21/05/2025;PSE;22/05/2025;25/05/2025;Tiene wifi?
RSV0044;200000012;1159;19/05/2025;TCredito;22/05/2025;24/05/2025;Se permite fumar?
RSV0045;200000110;1239;14/05/2025;TCredito;16/05/2025;18/05/2025;Esta cerca del metro?
RSV0046;200000197;1145;03/05/2025;TCredito;06/05/2025;07/05/2025;Esta cerca del metro?
RSV0047;200000148;1102;06/05/2025;PSE;08/05/2025;12/05/2025;Hay aire acondicionado?
RSV0048;200000137;1148;28/05/2025;PSE;29/05/2025;30/05/2025;Incluye desayuno?
RSV0049;200000199;1086;05/05/2025;TCredito;06/05/2025;09/05/2025;Hay aire acondicionado?
RSV0050;200000166;1242;10/05/2025;TCredito;12/05/2025;16/05/2025;Es zona segura?
RSV0051;200000127;1077;19/05/2025;PSE;21/05/2025;22/05/2025;Tiene cocina?
RSV0052;200000134;1020;18/05/2025;TCredito;21/05/2025;23/05/2025;Tiene wifi?
